Species	WSG	Continent	Estimated
Lecythis ollaria	0.72	Tropical America	0
Lecythis paraensis	0.88	Tropical America	0
Lecythis sp.	0.83	Tropical America	0
Lecythis spp.	0.77	Tropical America	0
Licania aff. micrantha	0.86	Tropical America	0
Licania alba	0.91	Tropical America	0
Licania apetala	0.64, 0.78 +	Tropical America	0
Licania densiflora	0.8	Tropical America	0
Licania hypoleuca	0.9	Tropical America	0
Licania macrophylla	0.76	Tropical America	0
Licania parviflora	0.76	Tropical America	0
Licania sp.	0.61, 0.79 +	Tropical America	0
Licania spp.	0.78	Tropical America	0
Licania cayennensis	0.99	Tropical America	0
Licania spp.	0.82	Tropical America	0
Lindackeria sp.	0.41	Tropical America	0
Linociera domingensis	0.81	Tropical America	0
Lonchocarpus sericens	0.78	Tropical America	0
Lonchocarpus spp.	0.69	Tropical America	0
Lonchocarpus straminens	0.75	Tropical America	0
Loxopterygium sagotii	0.56	Tropical America	0
Lucuma spp.	0.79	Tropical America	0
Luehea cymulosa	0.55	Tropical America	0
Luehea spp.	0.5	Tropical America	0
Lueheopsis duckeana	0.64	Tropical America	0
Mabea piriri	0.59	Tropical America	0
Machaerium spp.	0.7	Tropical America	0
Macoubea guianensis	0.40 *	Tropical America	1
Magnolia sororum	0.5	Tropical America	0
Magnolia splendens	0.59	Tropical America	0
Magnolia spp.	0.52	Tropical America	0
Maguira sclerophylla	0.57	Tropical America	0
Mammea americana	0.62	Tropical America	0
Mangifera indica	0.55	Tropical America	0
Manilkara bidentata	0.82, 0.84, 0.85 +	Tropical America	0
Manilkara sp.	0.89	Tropical America	0
Marila sp.	0.63	Tropical America	0
Marmaroxylon racemosum	0.78 *	Tropical America	1
Matayba domingensis	0.7	Tropical America	0
Matisia hirta	0.61	Tropical America	0
Maytenus ficiformis	0.67	Tropical America	0
Maytenus spp.	0.71	Tropical America	0
Mezilaurus itauba	0.68	Tropical America	0
Mezilaurus lindaviana	0.68	Tropical America	0
Michropholis garciniaefolia	0.64	Tropical America	0
Michropholis spp.	0.61	Tropical America	0
Minquartia guianensis	0.76, 0.79 +	Tropical America	0
Mora excelsa	0.8	Tropical America	0
Mora gonggrijpi	0.8	Tropical America	0
Mora magistosperma	0.88	Tropical America	0
Mora sp.	0.77	Tropical America	0
Mouriria guianensis	0.8	Tropical America	0
Mouriria huberi	0.75	Tropical America	0
Mouriria pseudo-germinata	0.65	Tropical America	0
Mouriria sideroxylon	0.88	Tropical America	0
Myrcia paivae	0.73	Tropical America	0
Myrcia splendens	0.8	Tropical America	0
Myrciaria floribunda	0.73	Tropical America	0
Myristica spp.	0.46	Tropical America	0
Myroxylon balsamum	0.74, 0.76, 0.78 +	Tropical America	0
Nectandra antillana	0.42	Tropical America	0
Nectandra concinna	0.54, 0.56 +	Tropical America	0
Nectandra coriacea	0.51	Tropical America	0
Nectandra rigida	0.59	Tropical America	0
Nectandra rodioei	0.91	Tropical America	0
Nectandra rubra	0.55	Tropical America	0
Nectandra sp.	0.43, 0.48, 0.72 +	Tropical America	0
Nectandra spp.	0.52	Tropical America	0
Ocotea glandulosa	0.46	Tropical America	0
Ocotea leucoxylon	0.45	Tropical America	0
Ocotea moschata	0.61	Tropical America	0
Ocotea rodioei	0.85, 0.86 +	Tropical America	0
Ocotea rubra	0.54, 0.55, 0.56 +	Tropical America	0
Ocotea spathulata	0.62	Tropical America	0
Ocotea spp.	0.51	Tropical America	0
Onychopetalum amazonicum	0.64	Tropical America	0
Ormosia krugii	0.5	Tropical America	0
Ormosia lignivalvis	0.58	Tropical America	0
Ormosia spp.	0.59	Tropical America	0
Ouratea sp.	0.66	Tropical America	0
Pachira acuatica	0.43	Tropical America	0
Paratecoma peroba	0.6	Tropical America	0
Parinari campestris	0.69	Tropical America	0
Parinari excelsa	0.64	Tropical America	0
Parinari rodolfi	0.72	Tropical America	0
Parinari spp.	0.68	Tropical America	0
Parkia belutina	0.42	Tropical America	0
Parkia multijuga	0.38	Tropical America	0
Parkia oppositifolia	0.24	Tropical America	0
Parkia pendula	0.51	Tropical America	0
Parkia spp.	0.39	Tropical America	0
Peltogyne porphyrocardia	0.92	Tropical America	0
Peltogyne spp.	0.79	Tropical America	0
Pentaclethra macroloba	0.65, 0.68 +	Tropical America	0
Pera glabrata	0.65	Tropical America	0
Pera schomburgkiana	0.59	Tropical America	0
Persea spp.	0.40, 0.47, 0.52 +	Tropical America	0
Petitia domingensis	0.66	Tropical America	0
Pinus caribaea	0.51	Tropical America	0
Pinus oocarpa	0.55	Tropical America	0
Pinus patula	0.45	Tropical America	0
Piptadenia communis	0.68	Tropical America	0
Piptadenia macrocarpa	0.83 *	Tropical America	1
Piptadenia pittieri	0.62, 0.76 +	Tropical America	0
Piptadenia psilostachya	0.67	Tropical America	0
Piptadenia rigida	0.73	Tropical America	0
Piptadenia sp.	0.58	Tropical America	0
Piptadenia suaveolens	0.72	Tropical America	0
Piranhea longepedunculata	0.9	Tropical America	0
Piratinera guianensis	0.96	Tropical America	0
Pithecellobium guachapele (syn. Pseudosamea)	0.56	Tropical America	0
Pithecellobium saman	0.48	Tropical America	0
Platonia insignis	0.70 *	Tropical America	1
Platymiscium pinnatum	0.80, 0.81 +	Tropical America	0
Platymiscium polystachium	0.73	Tropical America	0
Platymiscium spp.	0.71, 0.84 +	Tropical America	0
Podocarpus oleifolius	0.46	Tropical America	0
Podocarpus rospigliossi	0.4	Tropical America	0
Podocarpus spp.	0.46	Tropical America	0
Pourouma aff. apiculata	0.45	Tropical America	0
Pourouma aspera	0.28	Tropical America	0
Pourouma aff. guianensis	0.33	Tropical America	0
Pourouma aff. melinonii	0.32	Tropical America	0
Pouteria carabobensis	0.68	Tropical America	0
Pouteria egregia	0.89	Tropical America	0
Pouteria eugeniifolia	1.08	Tropical America	0
Pouteria gonggrijpii	0.84	Tropical America	0
Pouteria melinonii	0.63 *	Tropical America	1
Pouteria multiflora	0.74	Tropical America	0
Pouteria pomifera	0.76	Tropical America	0
Pouteria sp.	0.73	Tropical America	0
Pouteria spp.	0.64, 0.67 +	Tropical America	0
Prioria copaifera	0.40, 0.41 +	Tropical America	0
Protium crenatum	0.54	Tropical America	0
Protium decandrum	0.56	Tropical America	0
Protium heptaphyllum	0.40, 0.55 +	Tropical America	0
Protium neglectum	0.58, 0.64 +	Tropical America	0
Protium sp.	0.73	Tropical America	0
Protium spp.	0.53, 0.64 +	Tropical America	0
Protium tenuifolium	0.6	Tropical America	0
Pseudolmedia laevigata	0.64	Tropical America	0
Pterocarpus officinalis	0.32, 0.50 +	Tropical America	0
Pterocarpus rohrii	0.41	Tropical America	0
Pterocarpus sp.	0.46, 0.50 +	Tropical America	0
Pterocarpus spp.	0.44	Tropical America	0
Pterocarpus vernalis	0.59	Tropical America	0
Pterogyne nitens	0.66	Tropical America	0
Pterygota excelsa	0.58	Tropical America	0
Qualea albiflora	0.5	Tropical America	0
Qualea cf. lancifolia	0.58	Tropical America	0
Qualea dinizii	0.58	Tropical America	0
Qualea spp.	0.55	Tropical America	0
Quararibaea guianensis	0.54	Tropical America	0
Quercus alata	0.71	Tropical America	0
Quercus costaricensis	0.61	Tropical America	0
Quercus eugeniaefolia	0.67	Tropical America	0
Quercus spp.	0.7	Tropical America	0
Raputia sp.	0.55	Tropical America	0
Rheedia spp.	0.72	Tropical America	0
Rollinia exsucca	0.32	Tropical America	0
Rollinia sp.	0.34, 0.36 +	Tropical America	0
Rollinia spp.	0.36	Tropical America	0
Saccoglottis cydonioides	0.72	Tropical America	0
Sapium biglandulosum	0.45	Tropical America	0
Sapium cf. jenmanni	0.41	Tropical America	0
Sapium laurocerasus	0.38	Tropical America	0
Sapium sp.	0.38, 0.48 +	Tropical America	0
Sapium spp.	0.47, 0.72 +	Tropical America	0
Schinopsis spp.	1	Tropical America	0
Sclerolobium aff. chrysophyllum	0.62	Tropical America	0
Sclerolobium guianensis	0.56	Tropical America	0
Sclerolobium paniculatum	0.34	Tropical America	0
Sclerolobium spp.	0.47	Tropical America	0
Sickingia spp.	0.52	Tropical America	0
Simaba multiflora	0.51	Tropical America	0
Simarouba amara	0.32, 0.34, 0.38 +	Tropical America	0
Sloanea berteriana	0.8	Tropical America	0
Sloanea grandiflora	0.8	Tropical America	0
Sloanea guianensis	0.79	Tropical America	0
Spondias lutea	0.38	Tropical America	0
Spondias mombin	0.39, 0.40, 0.41 +	Tropical America	0
Sterculia apetala	0.33, 0.36 +	Tropical America	0
Sterculia pilosa/speciosa	0.53	Tropical America	0
Sterculia pruriens	0.46	Tropical America	0
Sterculia spp.	0.55	Tropical America	0
Stryphnodendron polystachum	0.52	Tropical America	0
Stylogyne spp.	0.69	Tropical America	0
Swartzia spp.	0.95	Tropical America	0
Swietenia macrophylla	0.42, 0.45, 0.46, 0.54 +	Tropical America	0
Symphonia globulifera	0.58	Tropical America	0
Tabebuia guayacan	0.82	Tropical America	0
Tabebuia heterophylla	0.58	Tropical America	0
Tabebuia heterotricha	0.82	Tropical America	0
Tabebuia pentaphylla	0.51	Tropical America	0
Tabebuia rosea	0.54	Tropical America	0
Tabebuia serratifolia	0.92, 0.95, 0.99 +	Tropical America	0
Tabebuia spectabilis	1.07	Tropical America	0
Tabebuia spp. (lapacho group)	0.91	Tropical America	0
Tabebuia spp. (roble)	0.52	Tropical America	0
Tabebuia spp. (white cedar)	0.57	Tropical America	0
Tabebuia stenocalyx	0.55, 0.57 +	Tropical America	0
Tachigalia myrmecophylla	0.56	Tropical America	0
Talisia sp.	0.84	Tropical America	0
Tapirira guianensis	0.47 *	Tropical America	1
Terminalia amazonia	0.66	Tropical America	0
Terminalia catappa	0.59	Tropical America	0
Terminalia guianensis	0.63	Tropical America	0
Terminalia lucida	0.65	Tropical America	0
Terminalia sp.	0.50, 0.51, 0.58 +	Tropical America	0
Tetragastris altisima	0.61	Tropical America	0
Tetragastris balsamifera	0.63, 0.67 +	Tropical America	0
Tetragastris panamensis	0.71	Tropical America	0
Tetragastris spp.	0.71	Tropical America	0
Toluifera balsamum	0.74	Tropical America	0
Torrubia cuspidata	0.47	Tropical America	0
Torrubia sp.	0.52	Tropical America	0
Toulicia pulvinata	0.63	Tropical America	0
Tovomita guianensis	0.6	Tropical America	0
Trattinickia burserifolia	0.44	Tropical America	0
Trattinickia rhoifolia	0.37	Tropical America	0
Trattinickia sp.	0.38	Tropical America	0
Trichilia propingua	0.58	Tropical America	0
Trichosperma mexicanum	0.41	Tropical America	0
Triplaris sp.	0.64	Tropical America	0
Triplaris spp.	0.56	Tropical America	0
Triplaris surinamensis	0.51	Tropical America	0
Trophis sp.	0.54	Tropical America	0
Vatairea lundellii	0.64	Tropical America	0
Vatairea spp.	0.6	Tropical America	0
Virola sebifera	0.48	Tropical America	0
Virola spp.	0.40, 0.44, 0.48 +	Tropical America	0
Virola surinamensis	0.37, 0.42 +	Tropical America	0
Vismia spp.	0.41	Tropical America	0
Vitex divaricata	0.62	Tropical America	0
Vitex gaumeri	0.56	Tropical America	0
Vitex orinocensis	0.53	Tropical America	0
Vitex spp.	0.52, 0.56, 0.57 +	Tropical America	0
Vitex stahelii	0.6	Tropical America	0
Vochysia ferruginea	0.42, 0.47 +	Tropical America	0
Vochysia guianensis	0.45	Tropical America	0
Vochysia hondurensis	0.33	Tropical America	0
Vochysia lehmannii	0.48	Tropical America	0
Vochysia maxima	0.46	Tropical America	0
Vochysia spp.	0.40, 0.47, 0.79 +	Tropical America	0
Vochysia tetraphylla	0.48	Tropical America	0
Vochysia tomentosa	0.36	Tropical America	0
Vouacapoua americana	0.79	Tropical America	0
Warszewicsia coccinea	0.56	Tropical America	0
Xanthoxylum martinicensis	0.46	Tropical America	0
Xanthoxylum spp.	0.44	Tropical America	0
Xylopia columbiana	0.51	Tropical America	0
Xylopia emarginata	0.59	Tropical America	0
Xylopia frutescens	0.64 *	Tropical America	1
Afzelia bipindensis	0.66 *	Tropical Africa	1
Afzelia pachyloba	0.63 *	Tropical Africa	1
Afzelia spp.	0.67	Tropical Africa	0
Aidia ochroleuca	0.78 *	Tropical Africa	1
Albizia ferruginea	0.47 *	Tropical Africa	1
Albizia glaberrima	0.52 *	Tropical Africa	1
Albizia gummifera	0.51 *	Tropical Africa	1
Albizia spp.	0.52	Tropical Africa	0
Albizia zygia	0.46 *	Tropical Africa	1
Allanblackia floribunda	0.63 *	Tropical Africa	1
Allophyllus africanus f. acuminatus	0.45	Tropical Africa	0
Alstonia congensis	0.33	Tropical Africa	0
Amphimas ferrugineus	0.63 *	Tropical Africa	1
Amphimas pterocarpoides	0.63 *	Tropical Africa	1
Anisophyllea obtusifolia	0.63 *	Tropical Africa	1
Annonidium mannii	0.29 *	Tropical Africa	1
Anopyxis klaineana	0.74 *	Tropical Africa	1
Anthocleista keniensis	0.50 *	Tropical Africa	1
Anthonotha macrophylla	0.78 *	Tropical Africa	1
Anthostemma aubryanum	0.32 *	Tropical Africa	1
Antiaris africana	0.37	Tropical Africa	0
Antiaris spp.	0.38	Tropical Africa	0
Antrocaryon klaineanum	0.50 *	Tropical Africa	1
Aucoumea klaineana	0.37	Tropical Africa	0
Autranella congolensis	0.78	Tropical Africa	0
Baillonella toxisperma	0.71	Tropical Africa	0
Balanites aegyptiaca	0.63 *	Tropical Africa	1
Baphia kirkii	0.93 *	Tropical Africa	1
Beilschmiedia corbisieri	0.63 *	Tropical Africa	1
Beilschmiedia diversiflora	0.63 *	Tropical Africa	1
Beilschmiedia kweo	0.56 *	Tropical Africa	1
Beilschmiedia louisii	0.70 *	Tropical Africa	1
Beilschmiedia membranifolia	0.50 *	Tropical Africa	1
Beilschmiedia nitida	0.50 *	Tropical Africa	1
Berlinia bracteosa	0.60 *	Tropical Africa	1
Berlinia confusa	0.56 *	Tropical Africa	1
Berlinia spp.	0.58	Tropical Africa	0
Blighia welwitschii	0.74 *	Tropical Africa	1
Bombax buonopozense	0.32 *	Tropical Africa	1
Bombax chevalieri	0.41 *	Tropical Africa	1
Bombax rhodognaphalon	0.36 *	Tropical Africa	1
Bombax spp.	0.4	Tropical Africa	0
Brachystegia cynometroides	0.56 *	Tropical Africa	1
Brachystegia laurentii	0.45 *	Tropical Africa	1
Brachystegia mildbraedii	0.50 *	Tropical Africa	1
Brachystegia spp.	0.52	Tropical Africa	0
Bridelia grandis	0.50 *	Tropical Africa	1
Bridelia micrantha	0.47 *	Tropical Africa	1
Calpocalyx heitzii	0.66 *	Tropical Africa	1
Calpocalyx klainei	0.63 *	Tropical Africa	1
Canarium schweinfurthii	0.40 *	Tropical Africa	1
Canthium rubrocostratum	0.63 *	Tropical Africa	1
Carapa procera	0.59	Tropical Africa	0
Casearia battiscombei	0.5	Tropical Africa	0
Cassipourea euryoides	0.70 *	Tropical Africa	1
Cassipourea malosana	0.59 *	Tropical Africa	1
Ceiba pentandra	0.26	Tropical Africa	0
Celtis brieyi	0.50 *	Tropical Africa	1
Celtis mildbraedii	0.56 *	Tropical Africa	1
Celtis spp.	0.59	Tropical Africa	0
Celtis zenkeri	0.59 *	Tropical Africa	1
Chlorophora excelsa	0.55	Tropical Africa	0
Chrysophyllum albidum	0.56 *	Tropical Africa	1
Cleistanthus mildbraedii	0.87 *	Tropical Africa	1
Cleistopholis patens	0.36 *	Tropical Africa	1
Coelocaryon preussii	0.56 *	Tropical Africa	1
Cola cordifolia	0.50 *	Tropical Africa	1
Cola gigantea	0.46 *	Tropical Africa	1
Cola gigantea var. glabrescens	0.46 *	Tropical Africa	1
Cola natalensis	0.70 *	Tropical Africa	1
Cola sp.	0.70 *	Tropical Africa	1
Combretodendron macrocarpum	0.7	Tropical Africa	0
Conopharyngia holstii	0.50 *	Tropical Africa	1
Copaifera mildbraedii	0.63 *	Tropical Africa	1
Copaifera religiosa	0.50 *	Tropical Africa	1
Cordia africana	0.40 *	Tropical Africa	1
Cordia millenii	0.34	Tropical Africa	0
Cordia platythyrsa	0.36 *	Tropical Africa	1
Corynanthe gabonensis	0.56 *	Tropical Africa	1
Corynanthe pachyceras	0.63 *	Tropical Africa	1
Coula edulis	0.78 *	Tropical Africa	1
Croton macrostachyus	0.50 *	Tropical Africa	1
Croton megalocarpus	0.57	Tropical Africa	0
Cryptosepalum staudtii	0.70 *	Tropical Africa	1
Ctenolophon englerianus	0.78 *	Tropical Africa	1
Cylicodiscus gabonensis	0.8	Tropical Africa	0
Cynometra alexandri	0.74	Tropical Africa	0
Dacryodes buettneri	0.53 *	Tropical Africa	1
Dacryodes edulis	0.50 *	Tropical Africa	1
Dacryodes igaganga	0.53 *	Tropical Africa	1
Dacryodes klaineana	0.70 *	Tropical Africa	1
Dacryodes le-testui	0.50 *	Tropical Africa	1
Dacryodes normandii	0.50 *	Tropical Africa	1
Dacryodes spp.	0.61	Tropical Africa	0
Daniellia klainei	0.45 *	Tropical Africa	1
Daniellia ogea	0.40 *	Tropical Africa	1
Daniellia soyauxii	0.45 *	Tropical Africa	1
Desbordesia pierreana	0.87 *	Tropical Africa	1
Detarium senegalensis	0.63 *	Tropical Africa	1
Dialium bipindense	0.83 *	Tropical Africa	1
Dialium dinklagei	0.72	Tropical Africa	0
Dialium excelsum	0.78 *	Tropical Africa	1
Didelotia africana	0.78 *	Tropical Africa	1
Didelotia brevipaniculata	0.53	Tropical Africa	0
Didelotia letouzeyi	0.50 *	Tropical Africa	1
Diospyros kamerunensis	0.78 *	Tropical Africa	1
Diospyros spp.	0.82	Tropical Africa	0
Discoglypremna caloneura	0.32 *	Tropical Africa	1
Distemonanthus benthamianus	0.58	Tropical Africa	0
Drypetes gossweilleri	0.63 *	Tropical Africa	1
Drypetes sp.	0.63 *	Tropical Africa	1
Ehretia acuminata	0.51 *	Tropical Africa	1
Enantia chlorantha	0.42 *	Tropical Africa	1
Endodesmia calophylloides	0.66 *	Tropical Africa	1
Entandrophragma angolensis	0.45	Tropical Africa	0
Entandrophragma candollei	0.59	Tropical Africa	0
Entandrophragma cylindricum	0.55	Tropical Africa	0
Entandrophragma utile	0.53	Tropical Africa	0
Eribroma oblongum	0.60 *	Tropical Africa	1
Eriocoelum microspermum	0.50 *	Tropical Africa	1
Erismadelphus exsul	0.56 *	Tropical Africa	1
Erythrina vogelii	0.25 *	Tropical Africa	1
Erythrophleum ivorense	0.72	Tropical Africa	0
Erythroxylum mannii	0.5	Tropical Africa	0
Fagara heitzii	0.41 *	Tropical Africa	1
Fagara macrophylla	0.69	Tropical Africa	0
Ficus iteophylla	0.40 *	Tropical Africa	1
Ficus mucuso	0.39 *	Tropical Africa	1
Funtumia africana	0.40 *	Tropical Africa	1
Fumtumia latifolia	0.45 *	Tropical Africa	1
Gambeya africana	0.63	Tropical Africa	0
Gambeya lacourtiana	0.63 *	Tropical Africa	1
Gambeya madagascariensis	0.56 *	Tropical Africa	1
Gambeya spp.	0.56 *	Tropical Africa	1
Garcinia gerardii	0.66 *	Tropical Africa	1
Garcinia mannii	0.78 *	Tropical Africa	1
Garcinia punctata	0.78 *	Tropical Africa	1
Gilbertiodendron dewevrei	0.65 *	Tropical Africa	1
Gilbertiodendron grandiflorum	0.66 *	Tropical Africa	1
Gilbertiodendron mayombense	0.63 *	Tropical Africa	1
Gilletiodendron mildbraedii	0.87 *	Tropical Africa	1
Gossweilerodendron balsamiferum	0.4	Tropical Africa	0
Guarea cedrata	0.48	Tropical Africa	0
Guarea laurentii	0.56 *	Tropical Africa	1
Guarea thompsonii	0.55 *	Tropical Africa	1
Guibourtia arnoldiana	0.64	Tropical Africa	0
Guibourtia demeusei	0.70 *	Tropical Africa	1
Guibourtia ehie	0.67	Tropical Africa	0
Guibourtia pellegriniana	0.74 *	Tropical Africa	1
Guibourtia spp.	0.72	Tropical Africa	0
Guibourtia tessmannii	0.74 *	Tropical Africa	1
Hannoa klaineana	0.28 *	Tropical Africa	1
Harungana madagascariensis	0.45 *	Tropical Africa	1
Hexalobus crispiflorus	0.48 *	Tropical Africa	1
Holoptelea grandis	0.59 *	Tropical Africa	1
Homalium letestui	0.66 *	Tropical Africa	1
Homalium spp.	0.7	Tropical Africa	0
Hylodendron gabonense	0.78 *	Tropical Africa	1
Hymenostegia afzelii	0.78 *	Tropical Africa	1
Hymenostegia pellegrini	0.78 *	Tropical Africa	1
Irvingia gabonensis	0.71	Tropical Africa	0
Irvingia grandifolia	0.78 *	Tropical Africa	1
Julbernardia globiflora	0.78	Tropical Africa	0
Khaya grandifoliola	0.6	Tropical Africa	0
Khaya ivorensis	0.44	Tropical Africa	0
Khaya senegalensis	0.6	Tropical Africa	0
Klainedoxa gabonensis	0.87	Tropical Africa	0
Lannea welwitschii	0.45 *	Tropical Africa	1
Lecomtedoxa klaineana	0.78 *	Tropical Africa	1
Letestua durissima	0.87 *	Tropical Africa	1
Lophira alata	0.87 *	Tropical Africa	1
Lovoa trichilioides	0.45 *	Tropical Africa	1
Macaranga conglomerata	0.40 *	Tropical Africa	1
Macaranga kilimandscharica	0.40 *	Tropical Africa	1
Maesopsis eminii	0.41	Tropical Africa	0
Malacantha sp. aff. alnifolia	0.45 *	Tropical Africa	1
Mammea africana	0.62	Tropical Africa	0
Manilkara cuneifolia	0.81 *	Tropical Africa	1
Manilkara lacera	0.78 *	Tropical Africa	1
Markhamia hildebrandtii	0.50 *	Tropical Africa	1
Markhamia platycalyx	0.45 *	Tropical Africa	1
Memecylon capitellatum	0.77 *	Tropical Africa	1
Microberlinia bisulcata	0.63 *	Tropical Africa	1
Microberlinia brazzavillensis	0.7	Tropical Africa	0
Microcos coriaceus	0.42 *	Tropical Africa	1
Milletia laurentii	0.70 *	Tropical Africa	1
Milletia spp.	0.72	Tropical Africa	0
Mitragyna ciliata	0.45	Tropical Africa	0
Mitragyna stipulosa	0.47	Tropical Africa	0
Monopetalanthus coriaceus	0.45 *	Tropical Africa	1
Monopetalanthus durandii	0.50 *	Tropical Africa	1
Monopetalanthus heitzii	0.39	Tropical Africa	0
Monopetalanthus letestui	0.50 *	Tropical Africa	1
Monopetalanthus pellegrinii	0.47 *	Tropical Africa	1
Musanga cecropioides	0.23	Tropical Africa	0
Nauclea diderrichii	0.63	Tropical Africa	0
Neopoutonia macrocalyx	0.32 *	Tropical Africa	1
Nesogordonia fouassieri	0.70 *	Tropical Africa	1
Nesogordonia papaverifera	0.65	Tropical Africa	0
Newtonia buchananii	0.48 *	Tropical Africa	1
Newtonia glandulifera	0.74 *	Tropical Africa	1
Ochtocosmus africanus	0.78 *	Tropical Africa	1
Odyendea gabonensis	0.32 *	Tropical Africa	1
Odyendea spp.	0.32	Tropical Africa	0
Oldfieldia africana	0.78 *	Tropical Africa	1
Ongokea gore	0.72	Tropical Africa	0
Oxystigma oxyphyllum	0.53	Tropical Africa	0
Pachyelasma tessmannii	0.70 *	Tropical Africa	1
Pachypodanthium confine	0.58 *	Tropical Africa	1
Pachypodanthium staudtii	0.58 *	Tropical Africa	1
Paraberlinia bifoliolata	0.56 *	Tropical Africa	1
Parinari excelsa	0.69	Tropical Africa	0
Parinari glabra	0.87 *	Tropical Africa	1
Parinari goetzeniana	0.78 *	Tropical Africa	1
Parkia bicolor	0.36 *	Tropical Africa	1
Pausinystalia brachythyrsa	0.56 *	Tropical Africa	1
Pausinystalia cf. talbotii	0.56 *	Tropical Africa	1
Pentaclethra eetveldeana	0.63 *	Tropical Africa	1
Pentaclethra macrophylla	0.78 *	Tropical Africa	1
Pentadesma butyracea	0.78 *	Tropical Africa	1
Phyllanthus discoideus	0.76 *	Tropical Africa	1
Pierreodendron africanum	0.70 *	Tropical Africa	1
Piptadenia gabunensis	0.70 *	Tropical Africa	1
Piptadeniastrum africanum	0.56	Tropical Africa	0
Plagiostyles africana	0.70 *	Tropical Africa	1
Poga oleosa	0.36	Tropical Africa	0
Polyalthia suaveolens	0.66 *	Tropical Africa	1
Premna angolensis	0.63 *	Tropical Africa	1
Pteleopsis hylodendron	0.63 *	Tropical Africa	1
Pterocarpus angolensis	0.59	Tropical Africa	0
Pterocarpus soyauxii	0.61	Tropical Africa	0
Pterygota bequaertii	0.56 *	Tropical Africa	1
Pterygota spp.	0.52	Tropical Africa	0
Pycnanthus angolensis	0.4	Tropical Africa	0
Randia cladantha	0.78 *	Tropical Africa	1
Rauwolfia macrophylla	0.47 *	Tropical Africa	1
Ricinodendron heudelotii	0.2	Tropical Africa	0
Saccoglottis gabonensis	0.74 *	Tropical Africa	1
Santiria trimera	0.53 *	Tropical Africa	1
Sapium ellipticum	0.50 *	Tropical Africa	1
Schrebera arborea	0.63 *	Tropical Africa	1
Sclorodophloeus zenkeri	0.68 *	Tropical Africa	1
Scottellia chevalieri	0.50 *	Tropical Africa	1
Scottellia coriacea	0.56	Tropical Africa	0
Scyphocephalium ochocoa	0.48	Tropical Africa	0
Scytopetalum tieghemii	0.56 *	Tropical Africa	1
Sindoropsis letestui	0.56 *	Tropical Africa	1
Staudtia stipitata	0.75	Tropical Africa	0
Stemonocoleus micranthus	0.56 *	Tropical Africa	1
Sterculia oblonga	0.61	Tropical Africa	0
Sterculia rhinopetala	0.64	Tropical Africa	0
Strephonema pseudocola	0.56 *	Tropical Africa	1
Strombosia glaucescens	0.8	Tropical Africa	0
Strombosia grandifolia	0.74 *	Tropical Africa	1
Strombosiopsis tetrandra	0.63 *	Tropical Africa	1
Swartzia fistuloides	0.82	Tropical Africa	0
Symphonia globulifera	0.58 *	Tropical Africa	1
Syzygium cordatum	0.59 *	Tropical Africa	1
Tarrietia densiflora	0.63	Tropical Africa	0
Tarrietia utilis	0.54 *	Tropical Africa	1
Terminalia superba	0.45	Tropical Africa	0
Tessmania africana	0.85 *	Tropical Africa	1
Testulea gabonensis	0.6	Tropical Africa	0
Tetraberlinia bifoliolata	0.54 *	Tropical Africa	1
Tetraberlinia tubmaniana	0.60 *	Tropical Africa	1
Tetrapleura tetraptera	0.50 *	Tropical Africa	1
Tieghemella africana	0.55	Tropical Africa	0
Tieghemella heckelii	0.55 *	Tropical Africa	1
Trema guineensis	0.40 *	Tropical Africa	1
Trema sp.	0.40 *	Tropical Africa	1
Trichilia heudelotii	0.50 *	Tropical Africa	1
Trichilia prieureana	0.63 *	Tropical Africa	1
Trichoscypha arborea	0.59 *	Tropical Africa	1
Triplochiton scleroxylon	0.32	Tropical Africa	0
Uapaca spp.	0.6	Tropical Africa	0
Vepris undulata	0.70 *	Tropical Africa	1
Vitex doniana	0.4	Tropical Africa	0
Xylopia aethiopica	0.50 *	Tropical Africa	1
Xylopia chrysophylla	0.70 *	Tropical Africa	1
Xylopia hypolambra	0.63 *	Tropical Africa	1
Xylopia quintasii	0.70 *	Tropical Africa	1
Xylopia staudtii	0.36 *	Tropical Africa	1
