"Species"	"Country"	"Code"	"D12"	"R"	"S"
"Abarema jupunba Britt. et Killip"	"Guyane francaise"	"1203G"	0.66	0.46	30
"Abarema jupunba Britt. et Killip"	"Brésil Amazonie"	"2654C"	0.71	0.51	24
"Abies alba Mill."	"France"	"0801"	0.50	0.34	37
"Abies alba Mill."	"France"	"1760"	0.54	0.52	25
"Abies alba Mill."	"France"	"1950"	0.48	0.41	27
"Abies alba Mill."	"France"	"2007"	0.43	0.47	27
"Acacia elata A.Cunn."	"Burundi"	"3005P"	0.61	0.47	33
"Acacia elata A.Cunn."	"Burundi"	"3008P"	0.60	0.43	31
"Acacia elata A.Cunn."	"Burundi"	"3021P"	0.64	0.46	30
"Acacia heterophylla Willd."	"Réunion"	"0403"	0.60	0.42	28
"Acacia mangium Willd."	"Sabah"	"3172P"	0.65	0.37	25
"Acacia shirleyi Maiden"	"Australie"	"3183"	1.21		
"Acacia shirleyi Maiden"	"Australie"	"3183A"	1.14		
"Afzelia africana Smith"	"Guinée"	"0003"	0.80	0.43	20
"Afzelia africana Smith"	"Côte d'Ivoire"	"0906"	0.74	0.40	19
"Afzelia africana Smith"	"Côte d'Ivoire"	"0955"	0.79	0.34	20
"Afzelia africana Smith"	"RCA"	"0974"	0.85	0.42	20
"Afzelia africana Smith"	"Côte d'Ivoire"	"1090"	0.78	0.23	28
"Afzelia africana Smith"	"Côte d'Ivoire"	"1203"	0.79	0.39	19
"Afzelia bella var.gracilior Keay"	"Côte d'Ivoire"	"0934"	0.70	0.36	18
"Afzelia bipindensis Harms"	"Cameroun"	"0159"	0.73	0.37	17
"Afzelia bipindensis Harms"	"Cameroun"	"0413"	0.79	0.38	17
"Afzelia bipindensis Harms"	"Cameroun"	"0429"	0.82	0.37	19
"Afzelia bipindensis Harms"	"Cameroun"	"0648"	0.85	0.31	21
"Afzelia bipindensis Harms"	"Cameroun"	"0772"	0.92	0.34	20
"Afzelia bipindensis Harms"	"Cameroun"	"1105"	0.84	0.61	
"Afzelia bipindensis Harms"	"Cameroun"	"1106"	0.83	0.39	19
"Afzelia bipindensis Harms"	"Cameroun"	"1115"	0.86	0.33	22
"Afzelia pachyloba Harms"	"Cameroun"	"1096"	0.72	0.40	21
"Afzelia pachyloba Harms"	"Cameroun"	"1098"	0.74	0.38	21
"Afzelia pachyloba Harms"	"Cameroun"	"1104"	0.79	0.59	
"Agathis dammara A.Rich."	"Malaisie n.p."	"2134"	0.52	0.34	27
"Agathis lanceolata Lindl."	"Nouvelle Calédonie"	"0205"	0.59	0.50	31
"Agathis lanceolata Lindl."	"Nouvelle Calédonie"	"0595"	0.58	0.30	
"Agathis lanceolata Lindl."	"Nouvelle Calédonie"	"2818"	0.52	0.38	29
"Agathis moorei Mast."	"Nouvelle Calédonie"	"2203"	0.60	0.36	29
"Agathis moorei Mast."	"Nouvelle Calédonie"	"2373"	0.47	0.38	29
"Agathis moorei Mast."	"Nouvelle Calédonie"	"2381"	0.52	0.36	29
"Agathis moorei Mast."	"Nouvelle Calédonie"	"2623"	0.42	0.31	28
"Agathis moorei Mast."	"Nouvelle Calédonie"	"2635"	0.51	0.35	28
"Agathis obtusa Mast."	"Vanuatu"	"2225"	0.55	0.39	29
"Albizia adianthifolia W.F.Wight"	"Côte d'Ivoire"	"0264"	0.55	0.32	31
"Albizia adianthifolia W.F.Wight"	"Cameroun"	"1119"	0.52	0.28	30
"Albizia ferruginea Benth."	"Côte d'Ivoire"	"0453"	0.50	0.36	24
"Albizia ferruginea Benth."	"Rép. Congo"	"0461"	0.61	0.40	26
"Albizia ferruginea Benth."	"Rép. Congo"	"1093"	0.59	0.31	32
"Albizia ferruginea Benth."	"Rép. Congo"	"1101"	0.64	0.43	23
"Albizia ferruginea Benth."	"Côte d'Ivoire"	"2129"	0.61	0.39	22
"Albizia ferruginea Benth."	"Côte d'Ivoire"	"2229"	0.60	0.36	23
"Albizia ferruginea Benth."	"Côte d'Ivoire"	"2618"	0.64	0.40	21
"Albizia lebbeck Benth."	"Guadeloupe"	"0166"	0.65	0.27	27
"Albizia lebbeck Benth."	"Mali"	"0296"	0.65	0.41	24
"Albizia lebbeck Benth."	"Nouvelle Calédonie"	"0596"	0.66	0.20	40
"Albizia sassa Macbr."	"Cameroun"	"0406"	0.58	0.34	29
"Albizia sp"	"Cameroun"	"1118"	0.56	0.34	23
"Albizia sp"	"Cameroun"	"1123"	0.65	0.34	32
"Albizia zygia Macbr."	"Côte d'Ivoire"	"0877"	0.50	0.33	28
"Aldina heterophylla Benth."	"Brésil"	"2910"	0.94	0.58	23
"Aldina heterophylla Benth."	"Brésil"	"3058"	0.85	0.58	18
"Aldina heterophylla Benth."	"Brésil"	"0080V"	0.82	0.50	24
"Aldina heterophylla Benth."	"Brésil"	"0108V"	0.83	0.47	26
"Aldina heterophylla Benth."	"Brésil"	"0121V"	0.94	0.52	30
"Aleurites moluccana Willd."	"Nouvelle Calédonie"	"0564"	0.41	0.35	35
"Aleurites moluccana Willd."	"Nouvelle Calédonie"	"2774"	0.40	0.38	32
"Aleurites moluccana Willd."	"Nouvelle Calédonie"	"2778"	0.43	0.36	38
"Alexa grandiflora Ducke"	"Brésil Amazonie"	"2606"	0.93	0.48	31
"Alexa grandiflora Ducke"	"Brésil Amazonie"	"2674"	0.80	0.49	27
"Alexa grandiflora Ducke"	"Brésil"	"0006V"	0.74	0.52	32
"Alexa grandiflora Ducke"	"Brésil"	"0010V"	0.71	0.50	30
"Alexa grandiflora Ducke"	"Brésil"	"0048V"	0.68	0.54	31
"Alexa grandiflora Ducke"	"Brésil"	"0124V"	0.69	0.52	31
"Allanblackia floribunda Oliv."	"Côte d'Ivoire"	"0375"	0.67	0.40	
"Allanblackia floribunda Oliv."	"Côte d'Ivoire"	"1047"	0.67	0.19	
"Allanblackia stanereana Exell et Mendonca"	"Rép. Congo"	"0830"	0.67	0.41	28
"Alluaudia procera Drake"	"Madagascar"	"1346"	0.43	0.34	30
"Alluaudia procera Drake"	"Madagascar"	"1351"	0.44	0.70	20
"Alluaudia procera Drake"	"Madagascar"	"1353"	0.48	0.40	29
"Alluaudia procera Drake"	"Madagascar"	"1366"	0.42	0.53	19
"Alluaudia procera Drake"	"Madagascar"	"1373"	0.41	0.31	36
"Alphitonia neo-caledonica Guillaum."	"Nouvelle Calédonie"	"0581"	0.70	0.33	36
"Alstonia boonei De Wild."	"Côte d'Ivoire"	"0393"	0.36	0.37	25
"Alstonia boonei De Wild."	"Côte d'Ivoire"	"0438"	0.36	0.28	34
"Alstonia boonei De Wild."	"Cameroun"	"0540"	0.35	0.32	38
"Amanoa caribaea Kr. et Urb."	"Guadeloupe"	"1829"	1.13	0.70	23
"Amanoa caribaea Kr. et Urb."	"Guadeloupe"	"1835"	1.10	0.59	27
"Amanoa caribaea Kr. et Urb."	"Guadeloupe"	"1838"	1.09	0.68	22
"Amanoa caribaea Kr. et Urb."	"Guadeloupe"	"2789"	1.07	0.58	29
"Amanoa caribaea Kr. et Urb."	"Guadeloupe"	"2794"	1.08	0.63	26
"Amburana cearensis A.C.Sm. var.acreana Macbr."	"Pérou"	"2699C"	0.50	0.43	19
"Amburana cearensis A.C.Smith"	"Brésil"	"2475"	0.53	0.37	19
"Amburana cearensis A.C.Smith"	"Brésil"	"2476"	0.64	0.39	16
"Amburana cearensis A.C.Smith"	"Brésil"	"2477"	0.64	0.38	22
"Amburana cearensis A.C.Smith"	"Brésil"	"2478"	0.51	0.35	18
"Amburana cearensis A.C.Smith"	"Brésil"	"2479"	0.54	0.37	20
"Amburana cearensis A.C.Smith"	"Brésil"	"2480"	0.59	0.38	20
"Amburana cearensis A.C.Smith"	"Brésil"	"2481"	0.60	0.37	21
"Amburana cearensis A.C.Smith"	"Brésil"	"2482"	0.47	0.35	20
"Amburana cearensis A.C.Smith"	"Brésil"	"2483"	0.62	0.45	20
"Amburana cearensis A.C.Smith"	"Brésil"	"2484"	0.54	0.32	20
"Amburana cearensis A.C.Smith"	"Brésil"	"2485"	0.63	0.40	20
"Amburana cearensis A.C.Smith"	"Brésil"	"2486"	0.58	0.40	20
"Amburana cearensis A.C.Smith"	"Brésil"	"2487"	0.63	0.40	18
"Amburana cearensis A.C.Smith"	"Brésil"	"2488"	0.59	0.38	18
"Amburana cearensis A.C.Smith"	"Brésil"	"2489"	0.64	0.37	19
"Amburana cearensis A.C.Smith"	"Brésil"	"2490"	0.69	0.36	18
"Amburana cearensis A.C.Smith"	"Brésil"	"2491"	0.60	0.33	18
"Amburana cearensis A.C.Smith"	"Brésil"	"2492"	0.62	0.43	19
"Amburana cearensis A.C.Smith"	"Brésil"	"2493"	0.60	0.37	19
"Amburana cearensis A.C.Smith"	"Brésil"	"2494"	0.69	0.40	20
"Amburana cearensis A.C.Smith"	"Brésil"	"0135V"	0.57	0.38	20
"Ampelocera edentula Kuhlm."	"Guyane francaise"	"0343G"	0.84	0.46	34
"Amphimas pterocarpoides Harms"	"Côte d'Ivoire"	"2291"	0.88	0.66	25
"Amphimas pterocarpoides Harms"	"Côte d'Ivoire"	"2295"	0.88	0.65	28
"Amphimas sp"	"Cameroun"	"1124"	0.70	0.42	38
"Anacardium giganteum Hancock ex Engl."	"Brésil Amazonie"	"2608"	0.61	0.42	29
"Anacardium giganteum Hancock ex Engl."	"Brésil Amazonie"	"2678"	0.50	0.35	25
"Anacardium giganteum Hancock ex Engl."	"Brésil"	"0207V"	0.66	0.42	31
"Andira coriacea Pulle"	"Guyane francaise"	"0098"	0.74	0.40	21
"Andira coriacea Pulle"	"Guyane francaise"	"0709"	0.88	0.48	22
"Andira coriacea Pulle"	"Guyane francaise"	"2563"	0.92	0.65	22
"Andira coriacea Pulle"	"Guyane francaise"	"0128G"	0.89	0.57	27
"Andira coriacea Pulle"	"Guyane francaise"	"0463G"	1.03	0.63	26
"Andira inermis H.B.K."	"Brésil"	"2458"	0.77	0.49	24
"Andira inermis H.B.K."	"Brésil"	"2459"	0.86	0.56	22
"Andira inermis H.B.K."	"Brésil"	"2460"	0.77	0.50	22
"Andira parviflora Ducke"	"Brésil"	"0040V"	0.77	0.60	24
"Andira parviflora Ducke"	"Brésil"	"0145V"	0.96	0.67	18
"Andira sp"	"Guyane francaise"	"2507"	0.91	0.66	21
"Andira sp"	"Guyane francaise"	"2638"	0.93	0.65	20
"Andira sp"	"Guyane francaise"	"0036G"	0.75	0.52	28
"Andira sp"	"Guyane francaise"	"0039G"	0.74	0.47	24
"Andira sp"	"Guyane francaise"	"0042G"	0.96	0.60	26
"Andira sp"	"Guyane francaise"	"0275G"	0.92	0.53	23
"Androstachys viticoides R.Cap."	"Madagascar"	"0834"	0.93	0.57	23
"Aniba amazonica Mez"	"Pérou"	"2717C"	0.58	0.36	29
"Aniba burchellii Kosterm."	"Brésil"	"0066V"	0.72	0.53	23
"Aniba canelilla Mez"	"Brésil"	"0161V"	1.14	0.63	18
"Aniba canelilla Mez"	"Brésil"	"0192V"	1.01	0.59	22
"Aniba canelilla Mez"	"Brésil"	"0217V"	1.22	0.71	21
"Aniba melinonii Mez"	"Guyane francaise"	"0106G"	0.97	0.60	30
"Aniba parviflora Mez"	"Guyane francaise"	"0079G"	0.65	0.41	31
"Aniba parviflora Mez"	"Guyane francaise"	"0291G"	0.64	0.44	29
"Aningeria altissima Aubrev. et Pellegr."	"Gabon"	"0155"	0.56	0.43	26
"Aningeria robusta Aubrev. et Pellegr."	"Côte d'Ivoire"	"1708"	0.59	0.32	
"Aningeria superba A.Chev."	"Rép. Congo"	"1880"	0.55	0.43	26
"Anisoptera costata Korth."	"Vietnam"	"0525"	0.65	0.39	34
"Anisoptera costata Korth."	"Vietnam"	"0526"	0.60	0.35	38
"Anisoptera costata Korth."	"Cambodge"	"0967"	0.67	0.38	37
"Anisoptera costata Korth."	"Cambodge"	"1077"	0.62	0.48	29
"Anisoptera laevis Ridl."	"Indonésie Sumatra"	"1815"	0.56	0.49	25
"Anisoptera thurifera Blume"	"Philippines"	"1767"	0.72	0.56	26
"Anonidium mannii Engl. et Diels"	"Cameroun"	"0273"	0.34	0.26	32
"Anopyxis klaineana Engl."	"Côte d'Ivoire"	"0106"	0.84	0.60	24
"Anopyxis klaineana Engl."	"Cameroun"	"0409"	0.91	0.58	30
"Anopyxis klaineana Engl."	"Côte d'Ivoire"	"0434"	0.91	0.46	33
"Anopyxis klaineana Engl."	"Côte d'Ivoire"	"0869"	0.88	0.56	26
"Anopyxis klaineana Engl."	"RCA"	"0975"	0.88	0.56	29
"Anopyxis klaineana Engl."	"Côte d'Ivoire"	"1097"	0.92	0.46	36
"Anthocarapa nitidula Penningt."	"Nouvelle Calédonie"	"2375"	0.97	0.61	27
"Anthocarapa nitidula Penningt."	"Nouvelle Calédonie"	"2813"	0.91	0.51	31
"Anthocarapa nitidula Penningt."	"Nouvelle Calédonie"	"2814"	0.92	0.53	31
"Anthocarapa nitidula Penningt."	"Nouvelle Calédonie"	"2820"	0.87	0.52	30
"Anthocleista nobilis G.Don"	"Gabon"	"1411"	0.60	0.50	25
"Anthocleista nobilis G.Don"	"Gabon"	"1415"	0.57	0.43	30
"Anthocleista nobilis G.Don"	"Gabon"	"1423"	0.52	0.56	19
"Anthocleista sp"	"Gabon"	"1272"	0.61	0.65	26
"Anthonotha fragrans Exell et Hillcoat"	"Gabon"	"1679"	0.75	0.57	23
"Anthonotha fragrans Exell et Hillcoat"	"Côte d'Ivoire"	"2302"	0.77	0.56	27
"Anthonotha fragrans Exell et Hillcoat"	"Côte d'Ivoire"	"2318"	0.73	0.52	26
"Anthostema madagascariense Baill."	"Madagascar"	"1220"	0.54	0.33	27
"Anthostema madagascariense Baill."	"Madagascar"	"1221"	0.57	0.48	29
"Antiaris toxicaria Lesch."	"Sénégal"	"0617"	0.55	0.33	37
"Antiaris toxicaria Lesch."	"Bénin"	"0623"	0.49	0.39	30
"Antiaris toxicaria Lesch."	"Côte d'Ivoire"	"0893"	0.44	0.29	32
"Antiaris toxicaria Lesch."	"Côte d'Ivoire"	"1138"	0.41	0.23	38
"Antiaris toxicaria Lesch."	"Côte d'Ivoire"	"1269"	0.45	0.26	
"Antiaris toxicaria Lesch."	"Côte d'Ivoire"	"1312"	0.46	0.36	34
"Antiaris toxicaria Lesch."	"Guinée"	"1711"	0.47	0.43	28
"Antiaris toxicaria Lesch."	"Sénégal"	"1736"	0.45	0.34	32
"Antonia ovata Pohl."	"Guyane francaise"	"2348"	0.61	0.45	26
"Antonia ovata Pohl."	"Guyane francaise"	"2350"	0.58	0.47	25
"Antonia ovata Pohl."	"Guyane francaise"	"2356"	0.53	0.46	23
"Antonia ovata Pohl."	"Guyane francaise"	"2359"	0.56	0.43	25
"Antonia ovata Pohl."	"Guyane francaise"	"0002G"	0.56	0.42	29
"Antonia ovata Pohl."	"Guyane francaise"	"1204G"	0.50	0.35	33
"Antrocaryon klaineanum Pierre"	"Gabon"	"0842"	0.62	0.31	40
"Antrocaryon klaineanum Pierre"	"Gabon"	"1933"	0.56	0.42	28
"Antrocaryon klaineanum Pierre"	"Gabon"	"1936"	0.58	0.41	26
"Antrocaryon klaineanum Pierre"	"Gabon"	"1948"	0.48	0.38	25
"Antrocaryon micraster A.Chev. et Guillaum."	"Guinée"	"0517"	0.52	0.34	38
"Apeiba membranacea Spruce"	"Guyane francaise"	"0118G"	0.35	0.34	35
"Apodocephala pauciflora Bak."	"Madagascar"	"0294"	0.61	0.49	29
"Apodytes clusiifolia Vill."	"Nouvelle Calédonie"	"2250"	0.85	0.58	33
"Apodytes clusiifolia Vill."	"Nouvelle Calédonie"	"2379"	0.73	0.50	29
"Apodytes clusiifolia Vill."	"Nouvelle Calédonie"	"2788"	0.75	0.52	32
"Apodytes clusiifolia Vill."	"Nouvelle Calédonie"	"2855"	0.78	0.53	32
"Apuleia leiocarpa Macbr."	"Brésil"	"2463"	0.90	0.57	21
"Apuleia leiocarpa Macbr."	"Brésil"	"2464"	0.77	0.48	24
"Apuleia leiocarpa Macbr."	"Brésil"	"2465"	0.76	0.47	25
"Apuleia leiocarpa Macbr."	"Brésil"	"2466"	0.78	0.46	19
"Apuleia leiocarpa Macbr."	"Brésil"	"2467"	0.80	0.59	24
"Apuleia leiocarpa Macbr."	"Brésil"	"2468"	0.78	0.49	19
"Apuleia leiocarpa Macbr."	"Brésil"	"2469"	0.82	0.57	22
"Apuleia leiocarpa Macbr."	"Brésil"	"2470"	0.88	0.55	23
"Apuleia leiocarpa Macbr."	"Brésil"	"2471"	0.68	0.48	21
"Apuleia leiocarpa Macbr."	"Brésil"	"2472"	0.81	0.56	25
"Apuleia leiocarpa Macbr."	"Brésil"	"2473"	0.74	0.52	24
"Araucaria angustifolia O.Ktze."	"Brésil"	"2443"	0.55	0.33	25
"Araucaria angustifolia O.Ktze."	"Brésil"	"2444"	0.45	0.41	27
"Araucaria angustifolia O.Ktze."	"Brésil"	"2445"	0.49	0.41	26
"Araucaria angustifolia O.Ktze."	"Brésil"	"2446"	0.48	0.45	26
"Araucaria angustifolia O.Ktze."	"Brésil"	"2447"	0.58	0.43	27
"Araucaria angustifolia O.Ktze."	"Brésil"	"2448"	0.57	0.45	28
"Araucaria angustifolia O.Ktze."	"Brésil"	"2449"	0.59	0.48	28
"Araucaria angustifolia O.Ktze."	"Brésil"	"2450"	0.55	0.45	26
"Araucaria angustifolia O.Ktze."	"Brésil"	"2451"	0.57	0.50	26
"Araucaria angustifolia O.Ktze."	"Brésil"	"2452"	0.59	0.39	27
"Araucaria angustifolia O.Ktze."	"Brésil"	"2453"	0.49	0.39	26
"Araucaria columnaris Hook."	"Nouvelle Calédonie"	"0557"	0.47	0.37	27
"Araucaria columnaris Hook."	"Nouvelle Calédonie"	"2139"	0.51	0.39	27
"Araucaria luxurians De Laub."	"Nouvelle Calédonie"	"2759"	0.49	0.42	30
"Araucaria luxurians De Laub."	"Nouvelle Calédonie"	"2762"	0.47	0.39	29
"Araucaria subulata Vieill."	"Nouvelle Calédonie"	"0817"	0.62	0.42	31
"Araucaria subulata Vieill."	"Nouvelle Calédonie"	"2757"	0.55	0.40	29
"Araucaria subulata Vieill."	"Nouvelle Calédonie"	"2777"	0.53	0.41	27
"Archidendropsis granulosa Nielsen"	"Nouvelle Calédonie"	"0203"	0.62	0.32	32
"Archidendropsis granulosa Nielsen"	"Nouvelle Calédonie"	"0594"	0.85	0.25	
"Archidendropsis granulosa Nielsen"	"Nouvelle Calédonie"	"1158"	0.71	0.38	32
"Archidendropsis granulosa Nielsen"	"Nouvelle Calédonie"	"1774"	0.59	0.37	35
"Archidendropsis granulosa Nielsen"	"Nouvelle Calédonie"	"2800"	0.61	0.40	26
"Archidendropsis granulosa Nielsen"	"Nouvelle Calédonie"	"2832"	0.50	0.37	27
"Arillastrum gummiferum Panch. ex Baill."	"Nouvelle Calédonie"	"0248"	0.97	0.51	27
"Arillastrum gummiferum Panch. ex Baill."	"Nouvelle Calédonie"	"0578"	1.00	0.65	25
"Arillastrum gummiferum Panch. ex Baill."	"Nouvelle Calédonie"	"1167"	1.00	0.50	30
"Artocarpus altilis Fosberg"	"Réunion"	"0209"	0.34	0.35	30
"Arytera collina Radlk."	"Nouvelle Calédonie"	"1856"	1.13	0.70	23
"Arytera collina Radlk."	"Nouvelle Calédonie"	"2200"	1.11	0.69	24
"Aspidosperma album R.Ben."	"Guyane francaise"	"0415"	0.82	0.55	24
"Aspidosperma album R.Ben."	"Guyane francaise"	"2641"	0.88	0.65	25
"Aspidosperma album R.Ben."	"Brésil Amazonie"	"2663"	0.78	0.54	24
"Aspidosperma album R.Ben."	"Brésil"	"3053"	1.03	0.69	22
"Aspidosperma album R.Ben."	"Brésil"	"0094V"	1.07	0.70	23
"Aspidosperma album R.Ben."	"Guyane francaise"	"0169G"	0.90	0.66	26
"Aspidosperma album R.Ben."	"Brésil"	"0226V"	0.94	0.64	24
"Aspidosperma album R.Ben."	"Guyane francaise"	"0357G"	0.88	0.51	27
"Aspidosperma cylindrocarpum Muell.Arg."	"Paraguay"	"2822"	0.90	0.55	28
"Aspidosperma obscurinervium"	"Brésil"	"0005V"	0.94	0.63	31
"Aspidosperma obscurinervium"	"Brésil"	"0008V"	0.97	0.63	31
"Aspidosperma obscurinervium"	"Brésil"	"0183V"	1.03	0.71	27
"Aspidosperma obscurinervium"	"Brésil"	"0184V"	1.03	0.70	26
"Aspidosperma sandwithianum Markgr."	"Guyane francaise"	"0776"	0.96	0.61	28
"Aspidosperma sp"	"Brésil Amazonie"	"2650C"	0.92	0.58	25
"Aspidostemon louvelii Rohwer"	"Madagascar"	"0220"	0.93	0.53	23
"Aspidostemon louvelii Rohwer"	"Madagascar"	"0313"	0.80	0.33	30
"Aspidostemon louvelii Rohwer"	"Madagascar"	"0543"	0.91	0.46	22
"Aspidostemon louvelii Rohwer"	"Madagascar"	"1338"	0.77	0.54	21
"Aspidostemon louvelii Rohwer"	"Madagascar"	"1342"	0.78	0.59	18
"Aspidostemon louvelii Rohwer"	"Madagascar"	"1347"	0.81	0.41	24
"Asteropeia rhopaloides Bak."	"Madagascar"	"0260"	1.02	0.58	25
"Asteropeia rhopaloides Bak."	"Madagascar"	"0362"	0.90	0.58	23
"Asteropeia sp"	"Madagascar"	"1541"	0.98	0.59	24
"Astronium lecointei Ducke"	"Brésil"	"0160V"	0.88	0.56	22
"Astrotrichilia thouvenotii Leroy"	"Madagascar"	"1688"	0.58	0.39	28
"Astrotrichilia thouvenotii Leroy"	"Madagascar"	"1692"	0.70	0.41	30
"Aucoumea klaineana Pierre"	"Gabon"	"0601"	0.50	0.26	38
"Aucoumea klaineana Pierre"	"Gabon"	"0628"	0.42	0.34	34
"Aucoumea klaineana Pierre"	"Gabon"	"0880"	0.49	0.27	39
"Aucoumea klaineana Pierre"	"Gabon"	"0910"	0.46	0.18	
"Aucoumea klaineana Pierre"	"Gabon"	"0911"	0.45	0.25	39
"Aucoumea klaineana Pierre"	"Gabon"	"0983"	0.32	0.17	
"Aucoumea klaineana Pierre"	"Gabon"	"1000"	0.55	0.36	36
"Aucoumea klaineana Pierre"	"Gabon"	"1005"	0.35	0.16	
"Aucoumea klaineana Pierre"	"Gabon"	"1075"	0.45	0.34	32
"Aucoumea klaineana Pierre"	"Gabon"	"1081"	0.48	0.39	35
"Aucoumea klaineana Pierre"	"Rép. Congo"	"1111"	0.50	0.29	37
"Aucoumea klaineana Pierre"	"Rép. Congo"	"1116"	0.39	0.37	26
"Aucoumea klaineana Pierre"	"Rép. Congo"	"1117"	0.41	0.35	23
"Autranella congolensis A.Chev."	"Cameroun"	"0285"	0.99	0.52	26
"Autranella congolensis A.Chev."	"Rép. Congo"	"0498"	0.95	0.55	27
"Autranella congolensis A.Chev."	"RCA"	"0958"	0.91		
"Autranella congolensis A.Chev."	"RCA"	"1851"	0.91	0.55	24
"Autranella congolensis A.Chev."	"RCA"	"1862"	0.94	0.62	25
"Avicennia germinans (L.) Stearn"	"Guyane francaise"	"0021G"	0.87	0.46	33
"Avicennia germinans (L.) Stearn"	"Guyane francaise"	"0028G"	0.78	0.43	
"Avicennia germinans (L.) Stearn"	"Guyane francaise"	"0029G"	0.67	0.37	
"Bagassa guianensis Aubl."	"Guyane francaise"	"0225"	0.79	0.51	18
"Bagassa guianensis Aubl."	"Guyane francaise"	"1585"	0.81	0.51	18
"Bagassa guianensis Aubl."	"Guyane francaise"	"1589"	0.88	0.46	21
"Bagassa guianensis Aubl."	"Guyane francaise"	"1591"	0.74	0.53	20
"Bagassa guianensis Aubl."	"Guyane francaise"	"0081G"	0.70	0.38	23
"Bagassa guianensis Aubl."	"Guyane francaise"	"1237G"	0.85	0.50	21
"Baillonella toxisperma Pierre"	"Gabon"	"0039"	0.80	0.54	19
"Baillonella toxisperma Pierre"	"Gabon"	"0506"	0.94	0.55	25
"Baillonella toxisperma Pierre"	"Gabon"	"2076"	0.87	0.56	25
"Balfourodendron riedelianum Engl."	"Paraguay"	"2829"	0.82	0.51	25
"Balfourodendron riedelianum Engl."	"Paraguay"	"2896C"	0.77	0.50	24
"Balfourodendron riedelianum Engl."	"Brésil"	"3272C"	0.86	0.51	24
"Balizia pedicellaris Barneby et Grimes"	"Guyane francaise"	"0230"	0.66	0.47	27
"Balizia pedicellaris Barneby et Grimes"	"Guyane francaise"	"1588"	0.70	0.38	31
"Balizia pedicellaris Barneby et Grimes"	"Guyane francaise"	"1612"	0.52	0.38	23
"Balizia pedicellaris Barneby et Grimes"	"Guyane francaise"	"1682"	0.57	0.38	25
"Balizia pedicellaris Barneby et Grimes"	"Guyane francaise"	"2594"	0.61	0.46	23
"Balizia pedicellaris Barneby et Grimes"	"Guyane francaise"	"0134G"	0.60	0.38	28
"Balizia pedicellaris Barneby et Grimes"	"Guyane francaise"	"0435G"	0.62	0.33	29
"Balizia pedicellaris Barneby et Grimes"	"Guyane francaise"	"0440G"	0.60	0.45	26
"Balizia pedicellaris Barneby et Grimes"	"Guyane francaise"	"0449G"	0.61	0.44	26
"Beilschmiedia corbisieri Robyns et Wilczek"	"Gabon"	"0960"	0.73	0.37	29
"Beilschmiedia diversiflora Pierre"	"Cameroun"	"0278"	0.62	0.37	25
"Beilschmiedia letouzei Robyns et Wilczek"	"Cameroun"	"0355"	0.65	0.52	25
"Beilschmiedia nitida Engl."	"Rép. Congo"	"0495"	0.65	0.32	33
"Beilschmiedia sp"	"Gabon"	"1319"	0.74	0.29	41
"Beilschmiedia sp"	"Gabon"	"1333"	0.75	0.48	25
"Beilschmiedia sp"	"Gabon"	"1339"	0.75	0.51	23
"Beilschmiedia sp"	"Gabon"	"1343"	0.72	0.53	25
"Beilschmiedia sp"	"Gabon"	"2272"	0.70	0.45	29
"Beilschmiedia velutina Kosterm."	"Madagascar"	"0336"	0.68	0.45	28
"Berlinia bracteosa Benth."	"Gabon"	"0084"	0.73	0.53	23
"Berlinia bracteosa Benth."	"Cameroun"	"0353"	0.69	0.52	28
"Berlinia bracteosa Benth."	"Gabon"	"1022"	0.61	0.34	30
"Berlinia confusa Hoyle"	"Côte d'Ivoire"	"0267"	0.75	0.48	27
"Berlinia confusa Hoyle"	"Côte d'Ivoire"	"0347"	0.70	0.53	24
"Berlinia confusa Hoyle"	"Côte d'Ivoire"	"0430"	0.82	0.53	25
"Berlinia confusa Hoyle"	"Côte d'Ivoire"	"0864"	0.71	0.36	34
"Berlinia confusa Hoyle"	"Cameroun"	"1049"	0.72	0.54	26
"Berlinia grandiflora Hutch. et Dalz"	"Côte d'Ivoire"	"0253"	0.74	0.46	27
"Berlinia sp"	"Gabon"	"2592"	0.61	0.44	27
"Berlinia viridicans Bak.f."	"Rép. Congo"	"0838"	0.67	0.29	39
"Bertholletia excelsa H.B.K."	"Brésil Amazonie"	"2605"	0.78	0.50	27
"Bertholletia excelsa H.B.K."	"Brésil Amazonie"	"2659"	0.81	0.49	26
"Bertholletia excelsa H.B.K."	"Brésil Amazonie"	"2661"	0.71	0.47	24
"Bikinia grisea"	"Gabon"	"2171"	0.75	0.53	24
"Bikinia grisea"	"Gabon"	"2178"	0.66	0.46	24
"Bikinia grisea"	"Gabon"	"2180"	0.64	0.44	25
"Bikinia grisea"	"Gabon"	"2185"	0.62	0.42	24
"Bikinia grisea"	"Gabon"	"2187"	0.74	0.50	25
"Bikinia grisea"	"Gabon"	"2188"	0.67	0.45	26
"Bikinia grisea"	"Gabon"	"2189"	0.60	0.41	26
"Bikinia grisea"	"Gabon"	"2194"	0.70	0.49	26
"Bikinia grisea"	"Gabon"	"2195"	0.63	0.48	23
"Bixa arborea Huber"	"Brésil"	"0142V"	0.33	0.33	28
"Bixa arborea Huber"	"Brésil"	"0149V"	0.39	0.33	27
"Bixa arborea Huber"	"Brésil"	"0163V"	0.41	0.38	23
